Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Attachment,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Reason),Custom field (Request Type),Custom field (Score),Custom field (Sentiment),Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Team Id,Team Name,Custom field (Test Level),Custom field (Test Steps),Custom field (TestCase Result),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
T  Adding Item: Selecting Item is required,N3NJS1809-168,10328,Testcase,Done,N3NJS1809,N3_NJS1809_SWP,software,Trương Minh Phước,712020:5eb85af2-71b5-4db7-b278-cb5d58420ad5,,Medium,Done,,,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,18/Jul/24 2:00 PM,18/Jul/24 2:54 PM,18/Jul/24 2:44 PM,18/Jul/24 2:00 PM,,0,PurchaseManagement,"T57 Adding Item: Selecting Item is required

* Steps we’ll take…
1. Click “New Sale Bill” button
2. Press Add Item
3. Do not select anything in Select Item field
4. Press Save Button
Success is:
A pop up: “Please select all items”",,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,,,,,,,,,N3NJS1809-41,,,,,,,,,,,,,,,,,,,,,,,,,,,N3NJS1809-157,18/Jul/24 2:02 PM;rk:e437ebd3-624a-4e45-9026-7bfe25bae05d;z5644926724197_c984a5fd2bd3e5d89af3609aa634813a.jpg;https://fpt-team-kweek2z8.atlassian.net/rest/api/3/attachment/content/10212,,A pop up: “Please select all items”,,,,,,{},,,,,,A pop up: “Please select all items”,,,,,0|i001uv:,,,,,,,,,,,,,,,Unit,"1. Click “New Sale Bill” button
2. Press Add Item
3. Do not select anything in Select Item field
4. Press Save Button",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_29759,,,Done,18/Jul/24 2:00 PM
T  Adding Item: Adding item is required,N3NJS1809-167,10327,Testcase,Done,N3NJS1809,N3_NJS1809_SWP,software,Trương Minh Phước,712020:5eb85af2-71b5-4db7-b278-cb5d58420ad5,,Medium,Done,,,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,18/Jul/24 1:56 PM,18/Jul/24 2:54 PM,18/Jul/24 3:19 PM,18/Jul/24 1:58 PM,,0,PurchaseManagement,"* T  - Adding Item: Adding item is required
Steps we’ll take…
1. Click “New Sale Bill” button
2. Fill Counter Name, Staff Name, Customer Name fields
3. Press Save Button

Success is:
A pop up: “Please add at least one item”",,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,,,,,,,,,N3NJS1809-41,,,,,,,,,,,,,,,,,,,,,,,,,,,N3NJS1809-141,18/Jul/24 1:57 PM;rk:e437ebd3-624a-4e45-9026-7bfe25bae05d;z5644926706109_b69967f14355f5c28e322e87b5c65257.jpg;https://fpt-team-kweek2z8.atlassian.net/rest/api/3/attachment/content/10208,,A pop up: “Please add at least one item”,,,,,,{},,,,,,A pop up: “Please add at least one item”,,,,,0|i001un:,,,,,,,,,,,,,,,Unit,"1. Click “New Sale Bill” button
2. Fill Counter Name, Staff Name, Customer Name fields
3. Press Save Button",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_111610,,,Done,18/Jul/24 1:58 PM
T Customer Name - Customer Name is required,N3NJS1809-166,10326,Testcase,Done,N3NJS1809,N3_NJS1809_SWP,software,Trương Minh Phước,712020:5eb85af2-71b5-4db7-b278-cb5d58420ad5,,Medium,Done,,,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,18/Jul/24 1:51 PM,18/Jul/24 2:53 PM,18/Jul/24 3:19 PM,18/Jul/24 1:52 PM,,0,PurchaseManagement,"T Customer Name - Customer Name is required
Steps we’ll take…

# Click “New Sale Bill” button
# Do not fill anything in Customer Name field
# Press Save Button

Success is:
A pop up: “Please select Customer”",,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,,,,,,,,,N3NJS1809-41,,,,,,,,,,,,,,,,,,,,,,,,,,,N3NJS1809-147,18/Jul/24 1:52 PM;rk:e437ebd3-624a-4e45-9026-7bfe25bae05d;z5644926706112_31af8bbbbab35333761f98208585e4cb.jpg;https://fpt-team-kweek2z8.atlassian.net/rest/api/3/attachment/content/10206,,A pop up: “Please select Customer”,,,,,,{},,,,,,A pop up: “Please select Customer”,,,,,0|i001uf:,,,,,,,,,,,,,,,Unit,"1. Click “New Sale Bill” button

2. Do not fill anything in Customer Name field

3. Press Save Button",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_35328,,,Done,18/Jul/24 1:52 PM
T71 Adding item: Quantity must be greater than 0,N3NJS1809-165,10325,Testcase,Done,N3NJS1809,N3_NJS1809_SWP,software,Trương Minh Phước,712020:5eb85af2-71b5-4db7-b278-cb5d58420ad5,,Medium,Done,,,Hồ Hữu Phước,712020:a0a953d5-90e0-4a73-bc0c-3340c8b3c1a2,Hồ Hữu Phước,712020:a0a953d5-90e0-4a73-bc0c-3340c8b3c1a2,18/Jul/24 1:51 PM,18/Jul/24 2:49 PM,18/Jul/24 3:19 PM,18/Jul/24 1:52 PM,,0,SaleManagement,"T71 Adding item: Quantity must be greater than 0


* Steps we’ll take…
1. Click New Sale Bill button
2. Fill all the fileds
3. At Qty field, press “0“
4. Click Save button
Success is:
A pop up:”Quantity must be greater than 0” appear",,Hồ Hữu Phước,712020:a0a953d5-90e0-4a73-bc0c-3340c8b3c1a2,,,,,,,,,,,,,,,,,,N3NJS1809-89,,,,,,,,,N3NJS1809-169,,,,,,,,,,18/Jul/24 1:49 PM;712020:a0a953d5-90e0-4a73-bc0c-3340c8b3c1a2;Screenshot (413).png;https://fpt-team-kweek2z8.atlassian.net/rest/api/3/attachment/content/10205,,A pop up:”Quantity must be greater than 0” appear,,,,,,{},,,,,,A pop up:”Quantity must be greater than 0” appear,,,,,0|i001u7:,,,,,,,,,,,,,,,Unit,"1. Click New Sale Bill button
2. Fill all the fileds
3. At Qty field, press “0“
4. Click Save button",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_32264,,,Done,18/Jul/24 1:52 PM
T  Staff Name - Staff name is required,N3NJS1809-164,10324,Testcase,Done,N3NJS1809,N3_NJS1809_SWP,software,Trương Minh Phước,712020:5eb85af2-71b5-4db7-b278-cb5d58420ad5,,Medium,Done,,,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,18/Jul/24 1:49 PM,18/Jul/24 2:53 PM,18/Jul/24 3:19 PM,18/Jul/24 1:49 PM,,0,PurchaseManagement,"T  - Staff Name - Staff name is required


* Steps we’ll take…
1. Click “New Sale Bill” button
2. Do not fill anything in Staff Name field
3. Press Save Button

Success is:
A pop up: “Please select staff”",,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,,,,,,,,,N3NJS1809-41,,,,,,,,,,,,,,,,,,,,,,,,,,,N3NJS1809-137,18/Jul/24 1:50 PM;rk:e437ebd3-624a-4e45-9026-7bfe25bae05d;z5644926683497_b0848a72c7e6f022e692492d4c102531.jpg;https://fpt-team-kweek2z8.atlassian.net/rest/api/3/attachment/content/10204,,A pop up: “Please select staff”,,,,,,{},,,,,,A pop up: “Please select staff”,,,,,0|i001tz:,,,,,,,,,,,,,,,Unit,"1. Click “New Sale Bill” button
2. Do not fill anything in Staff Name field
3. Press Save Button",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_24726,,,Done,18/Jul/24 1:49 PM
T.. Submit - Code already exist,N3NJS1809-163,10323,Testcase,Done,N3NJS1809,N3_NJS1809_SWP,software,Trương Minh Phước,712020:5eb85af2-71b5-4db7-b278-cb5d58420ad5,,Medium,Done,Do Nguyen My Anh,712020:efc959d6-196b-4f1a-a0e4-32a7627d31f9,Do Nguyen My Anh,712020:efc959d6-196b-4f1a-a0e4-32a7627d31f9,Do Nguyen My Anh,712020:efc959d6-196b-4f1a-a0e4-32a7627d31f9,18/Jul/24 1:47 PM,18/Jul/24 1:52 PM,18/Jul/24 3:19 PM,18/Jul/24 1:52 PM,,0,CreateCustomer,"T27 Submit - Email or Code already exist
Steps we’ll take…

# Input a customer code that has already been created 
# Input the rest fields correctly
# Click on Submit button 



*Success is….*✨ 

An error message “Code already exist” must be shown",,Do Nguyen My Anh,712020:efc959d6-196b-4f1a-a0e4-32a7627d31f9,,,,,,,,,,,,,,,,,,N3NJS1809-44,,,,,,,,,,,,,,,,,,N3NJS1809-98,,,An error message “Code already exist” must be shown,,,,,,{},,,,,,An error message “Code already exist” must be shown,,,,,0|i001tr:,,,,,N3NJS180 Sprint 1,NJS1809 Sprint 2,,,,,,,e11a2516-80c3-4f0b-8283-ce0ed24438e6,N3_NJS1809,Unit,"Input a customer code that has already been created 

Input the rest fields correctly

Click on Submit button",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_321487,,,Done,18/Jul/24 1:52 PM
T Counter Name - Counter Name is required,N3NJS1809-162,10322,Testcase,Done,N3NJS1809,N3_NJS1809_SWP,software,Trương Minh Phước,712020:5eb85af2-71b5-4db7-b278-cb5d58420ad5,,Medium,Done,,,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,18/Jul/24 1:42 PM,18/Jul/24 2:53 PM,18/Jul/24 3:19 PM,18/Jul/24 1:43 PM,,0,PurchaseManagement,"* T  - Counter Name - Counter Name is required
Steps we’ll take…
1. Click “New Sale Bill” button
2. Do not fill anything in Customer Name field
3. Press Save Button

Success is:
A pop up: “Please select counter”",,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,,,,,,,,,N3NJS1809-41,,,,,,,,,,,,,,,,,,,,,,,,,,,N3NJS1809-133,18/Jul/24 1:44 PM;rk:e437ebd3-624a-4e45-9026-7bfe25bae05d;z5644926683369_1e5f9a568efb86b4ab42fa29160f8983.jpg;https://fpt-team-kweek2z8.atlassian.net/rest/api/3/attachment/content/10200,,A pop up: “Please select counter”,,,,,,{},,,,,,A pop up: “Please select counter”,,,,,0|i001tj:,,,,,,,,,,,,,,,Unit,"1. Click “New Sale Bill” button
2. Do not fill anything in Counter Name field
3. Press Save Button",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_13296,,,Done,18/Jul/24 1:43 PM
T  Staff Name - Staff name must be retrieved from the database,N3NJS1809-161,10321,Testcase,Done,N3NJS1809,N3_NJS1809_SWP,software,Trương Minh Phước,712020:5eb85af2-71b5-4db7-b278-cb5d58420ad5,,Medium,Done,,,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,18/Jul/24 1:40 PM,18/Jul/24 2:52 PM,18/Jul/24 3:19 PM,18/Jul/24 1:41 PM,,0,PurchaseManagement,"* T  - Staff Name - Staff name must be retrieved from the database
Steps we’ll take…
1. Click New Sale Bill button
2. At Staff Name field, there must have name of Staff that was created in database. Example: Chris Nguyen
Success is:
Display all the Staff name that was created in database",,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,,,,,,,,,N3NJS1809-41,,,,,,,,,,,,,,,,,,,,,,,,,,,N3NJS1809-101,18/Jul/24 1:47 PM;rk:e437ebd3-624a-4e45-9026-7bfe25bae05d;z5644948981098_56b8e8dbe18d5a1a1499ae6fdc41a333.jpg;https://fpt-team-kweek2z8.atlassian.net/rest/api/3/attachment/content/10202,,Display all the Staff name that was created in database,,,,,,{},,,,,,Display all the Staff name that was created in database,,,,,0|i001tb:,,,,,,,,,,,,,,,Unit,"Steps we’ll take…
1. Click New Sale Bill button
2. At Staff Name field, there must have name of Staff that was created in database. Example: Chris Nguyen",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_13180,,,Done,18/Jul/24 1:41 PM
T   Counter Name - Counter Name must be retrieved from the database.,N3NJS1809-160,10320,Testcase,Done,N3NJS1809,N3_NJS1809_SWP,software,Trương Minh Phước,712020:5eb85af2-71b5-4db7-b278-cb5d58420ad5,,Medium,Done,,,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,18/Jul/24 1:38 PM,18/Jul/24 2:52 PM,18/Jul/24 3:19 PM,18/Jul/24 1:39 PM,,0,PurchaseManagement,"* T  - Counter Name - Counter Name must be retrieved from the database.|
Steps we’ll take…
1. Click New Sale Bill button
2. At Counter Name field, there must have Name of Counter that was created in database. Example: 312, 231, 431

Success is:
Display all the counter name that was created in database",,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,,,,,,,,,N3NJS1809-41,,,,,,,,,,,,,,,,,,,,,,,,,,,N3NJS1809-100,18/Jul/24 1:46 PM;rk:e437ebd3-624a-4e45-9026-7bfe25bae05d;z5644948962266_bdc990c364ab967040bd2da5ab65bbf6.jpg;https://fpt-team-kweek2z8.atlassian.net/rest/api/3/attachment/content/10201,,Display all the counter name that was created in database,,,,,,{},,,,,,Display all the counter name that was created in database,,,,,0|i001t3:,,,,,,,,,,,,,,,Unit,"Steps we’ll take…
1. Click New Sale Bill button
2. At Counter Name field, there must have Name of Counter that was created in database. Example: 312, 231, 431",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_51437,,,Done,18/Jul/24 1:39 PM
T.. Delete Customer - Deleted Successfully,N3NJS1809-159,10319,Testcase,To Do,N3NJS1809,N3_NJS1809_SWP,software,Trương Minh Phước,712020:5eb85af2-71b5-4db7-b278-cb5d58420ad5,,Medium,,Do Nguyen My Anh,712020:efc959d6-196b-4f1a-a0e4-32a7627d31f9,Do Nguyen My Anh,712020:efc959d6-196b-4f1a-a0e4-32a7627d31f9,Do Nguyen My Anh,712020:efc959d6-196b-4f1a-a0e4-32a7627d31f9,18/Jul/24 1:38 PM,18/Jul/24 1:41 PM,18/Jul/24 3:19 PM,,,0,CreateCustomer,"T.. Delete Customer - Deleted Successfully
Steps we’ll take…

# Click on 3 dot toggle on row of customer, choose delete
# A modal show customer information, click delete

 

*Success is….*✨

An success message “Delete successfully” must be shown",,Do Nguyen My Anh,712020:efc959d6-196b-4f1a-a0e4-32a7627d31f9,,,,,,,,,,,,,,,,,,N3NJS1809-45,,,,,,,,,,,,,,,,,,N3NJS1809-98,,,An success message “Delete successfully” must be shown,,,,,,{},,,,,,An success message “Delete successfully” must be shown,,,,,0|i001sv:,,,,,N3NJS180 Sprint 1,NJS1809 Sprint 2,,,,,,,e11a2516-80c3-4f0b-8283-ce0ed24438e6,N3_NJS1809,Unit,"1. Click on 3 dot toggle on row of customer, choose delete
2. A modal show customer information, click delete",Pass,,,,,,,To Do,18/Jul/24 1:38 PM
UC19 - Purchase Management - Search Purchase,N3NJS1809-158,10318,Story,To Do,N3NJS1809,N3_NJS1809_SWP,software,Trương Minh Phước,712020:5eb85af2-71b5-4db7-b278-cb5d58420ad5,,Medium,,,,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,18/Jul/24 1:35 PM,18/Jul/24 2:55 PM,18/Jul/24 3:19 PM,,,0,,,,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N3NJS1809-41,,,,,,,,,{},,N3NJS1809-8,Purchase Management,,,,,purple,,,0|i0014j:,,,,,NJS1809 Sprint 2,,,,,,,,,,,,,,,,,10168,Purchase Management,To Do,18/Jul/24 1:35 PM
T  - Adding Item: Selecting Item is required,N3NJS1809-157,10317,Testcase,Done,N3NJS1809,N3_NJS1809_SWP,software,Trương Minh Phước,712020:5eb85af2-71b5-4db7-b278-cb5d58420ad5,,Medium,Done,,,Hồ Hữu Phước,712020:a0a953d5-90e0-4a73-bc0c-3340c8b3c1a2,Hồ Hữu Phước,712020:a0a953d5-90e0-4a73-bc0c-3340c8b3c1a2,18/Jul/24 1:30 PM,18/Jul/24 2:00 PM,18/Jul/24 3:19 PM,18/Jul/24 1:31 PM,,0,SaleManagement,"T57 Adding Item: Selecting Item is required

* Steps we’ll take…
1. Click “New Sale Bill” button
2. Press Add Item
3. Do not select anything in Select Item field
4. Press Save Button
Success is:
A pop up: “Please select all items”",,Hồ Hữu Phước,712020:a0a953d5-90e0-4a73-bc0c-3340c8b3c1a2,,,,,,,,,,,,,,,,,,N3NJS1809-89,,,,,,,,,N3NJS1809-168,,,,,,,,,,18/Jul/24 1:30 PM;712020:a0a953d5-90e0-4a73-bc0c-3340c8b3c1a2;Screenshot (402).png;https://fpt-team-kweek2z8.atlassian.net/rest/api/3/attachment/content/10193,,A pop up: “Please select all items”,,,,,,{},,,,,,A pop up: “Please select all items”,,,,,0|i001sf:,,,,,,,,,,,,,,,Unit,"1. Click “New Sale Bill” button
2. Press Add Item
3. Do not select anything in Select Item field
4. Press Save Button",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_23197,,,Done,18/Jul/24 1:31 PM
T.. Promotion Discount Rate Verification - Promotion Discount Rate  is greater than 0 and less than 100,N3NJS1809-156,10316,Testcase,Done,N3NJS1809,N3_NJS1809_SWP,software,Trương Minh Phước,712020:5eb85af2-71b5-4db7-b278-cb5d58420ad5,,Medium,Done,,,Nguyen Dong Giang (K18 HCM),712020:19a3c59e-2216-43d3-aafc-69339756e680,Nguyen Dong Giang (K18 HCM),712020:19a3c59e-2216-43d3-aafc-69339756e680,18/Jul/24 1:28 PM,18/Jul/24 2:32 PM,18/Jul/24 3:19 PM,18/Jul/24 2:10 PM,,0,PromotionManagement,"T.. Promotion Discount Rate is greater than 0 and less than 100
Steps we’ll take…

# Click on 3 dot toggle , choose edit
# Clear Discount Rate  field
# Enter “-10” in Discount Rate field
# click on Submit button 



*Success is….*✨ 

An error message “Discount rate must be a number greater than 0 and less than 100” must be shown",,Nguyen Dong Giang (K18 HCM),712020:19a3c59e-2216-43d3-aafc-69339756e680,,,,,,,,,,,,,,,,,,N3NJS1809-29,,,,,,,,,,,,,,,,,,N3NJS1809-110,18/Jul/24 2:11 PM;rk:36857ca5-8748-41ca-9be9-6234f9cee3b9;Screenshot 2024-07-18 141049.png;https://fpt-team-kweek2z8.atlassian.net/rest/api/3/attachment/content/10215,,An error message “Discount rate must be a number greater than 0 and less than 100” is shown,,,,,,{},,,,,,An error message “Discount rate must be a number greater than 0 and less than 100” must be shown,,,,,0|i001s7:,,,,,NJS1809 Sprint 2,,,,,,,,,,Unit,"1. Click on 3 dot toggle , choose edit
2. Clear Dscount Rate  field
3. Enter “-10” in Discount Rate field
4. click on Submit button",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_2548713,,,Done,18/Jul/24 2:10 PM
T.. Promotion Discount Rate Verification - Promotion Discount Rate is required,N3NJS1809-155,10315,Testcase,Done,N3NJS1809,N3_NJS1809_SWP,software,Trương Minh Phước,712020:5eb85af2-71b5-4db7-b278-cb5d58420ad5,,Medium,Done,,,Nguyen Dong Giang (K18 HCM),712020:19a3c59e-2216-43d3-aafc-69339756e680,Nguyen Dong Giang (K18 HCM),712020:19a3c59e-2216-43d3-aafc-69339756e680,18/Jul/24 1:27 PM,18/Jul/24 2:03 PM,18/Jul/24 3:19 PM,18/Jul/24 2:02 PM,,0,PromotionManagement,"T.. Promotion Discount Rate is required
Steps we’ll take…

# Click on 3 dot toggle , choose edit
# Clear Discount Rate  field
# Do not input any value in Discount Rate field 
# click on Submit button 



*Success is….*✨ 

An error message “Discount Rate is required” must be shown",,Nguyen Dong Giang (K18 HCM),712020:19a3c59e-2216-43d3-aafc-69339756e680,,,,,,,,,,,,,,,,,,N3NJS1809-29,,,,,,,,,,,,,,,,,,N3NJS1809-109,18/Jul/24 2:03 PM;rk:36857ca5-8748-41ca-9be9-6234f9cee3b9;Screenshot 2024-07-18 140259.png;https://fpt-team-kweek2z8.atlassian.net/rest/api/3/attachment/content/10213,,An error message “Discount Rate is required” is shown,,,,,,{},,,,,,An error message “Discount Rate is required” must be shown,,,,,0|i001rz:,,,,,NJS1809 Sprint 2,,,,,,,,,,Unit,"1. Click on 3 dot toggle , choose edit
2. Clear Discount Rate  field
3. Do not input any value in Discount Rate field 
4. click on Submit button",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_2082281,,,Done,18/Jul/24 2:02 PM
T.. Promotion End Date Verification - Promotion End Date must be after  Promotion Start Date,N3NJS1809-154,10314,Testcase,Done,N3NJS1809,N3_NJS1809_SWP,software,Trương Minh Phước,712020:5eb85af2-71b5-4db7-b278-cb5d58420ad5,,Medium,Done,,,Nguyen Dong Giang (K18 HCM),712020:19a3c59e-2216-43d3-aafc-69339756e680,Nguyen Dong Giang (K18 HCM),712020:19a3c59e-2216-43d3-aafc-69339756e680,18/Jul/24 1:27 PM,18/Jul/24 2:00 PM,18/Jul/24 3:19 PM,18/Jul/24 2:00 PM,,0,PromotionManagement,"T.. Promotion End Date must be after Promotion Start Date
Steps we’ll take…

# Click on 3 dot toggle , choose edit
# Clear Start Date field End Date field
# Enter a date “7/20/2024” in Start Date field and “7/19/2024” in End Date field
# click on Submit button 



*Success is….*✨ 

An error toast message “End date cannot be after Start date” must be shown",,Nguyen Dong Giang (K18 HCM),712020:19a3c59e-2216-43d3-aafc-69339756e680,,,,,,,,,,,,,,,,,,N3NJS1809-29,,,,,,,,,,,,,,,,,,N3NJS1809-108,18/Jul/24 2:00 PM;rk:36857ca5-8748-41ca-9be9-6234f9cee3b9;Screenshot 2024-07-18 140012.png;https://fpt-team-kweek2z8.atlassian.net/rest/api/3/attachment/content/10211,,An error toast message “End date cannot be after Start date” is shown,,,,,,{},,,,,,An error toast message “End date cannot be after Start date” must be shown,,,,,0|i001rr:,,,,,NJS1809 Sprint 2,,,,,,,,,,Unit,"1. Click on 3 dot toggle , choose edit
2. Clear Start Date field End Date field
3. Enter a date “7/20/2024” in Start Date field and “7/19/2024” in End Date field
4. click on Submit button",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_1988750,,,Done,18/Jul/24 2:00 PM
T.. Phone Number - Phone Number must be numeric and have 10 digits.,N3NJS1809-153,10313,Testcase,Done,N3NJS1809,N3_NJS1809_SWP,software,Trương Minh Phước,712020:5eb85af2-71b5-4db7-b278-cb5d58420ad5,,Medium,Done,Do Nguyen My Anh,712020:efc959d6-196b-4f1a-a0e4-32a7627d31f9,Do Nguyen My Anh,712020:efc959d6-196b-4f1a-a0e4-32a7627d31f9,Do Nguyen My Anh,712020:efc959d6-196b-4f1a-a0e4-32a7627d31f9,18/Jul/24 1:27 PM,18/Jul/24 1:34 PM,18/Jul/24 3:19 PM,18/Jul/24 1:34 PM,,0,CreateCustomer,"T.. Code is required
Steps we’ll take…

# Input less than 9 numbers in Phone Number field
# Input the rest fields correctly
# Click on Submit button

 *Success is….*✨

An error message “Phone Number must be numeric and have 10 digits” must be shown",,Do Nguyen My Anh,712020:efc959d6-196b-4f1a-a0e4-32a7627d31f9,,,,,,,,,,,,,,,,,,N3NJS1809-44,,,,,,,,,,,,,,,,,,N3NJS1809-98,,,An error message “Phone Number must be numeric and have 10 digits” must be shown,,,,,,{},,,,,,An error message “Phone Number must be numeric and have 10 digits” must be shown,,,,,0|i001rj:,,,,,N3NJS180 Sprint 1,NJS1809 Sprint 2,,,,,,,e11a2516-80c3-4f0b-8283-ce0ed24438e6,N3_NJS1809,Unit,"1. Input less than 9 numbers in Phone Number field

2. Input the rest fields correctly

3. Click on Submit button",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_373128,,,Done,18/Jul/24 1:34 PM
T.. Promotion End Date Verification - Promotion End Date must not be in the past,N3NJS1809-152,10312,Testcase,Done,N3NJS1809,N3_NJS1809_SWP,software,Trương Minh Phước,712020:5eb85af2-71b5-4db7-b278-cb5d58420ad5,,Medium,Done,,,Nguyen Dong Giang (K18 HCM),712020:19a3c59e-2216-43d3-aafc-69339756e680,Nguyen Dong Giang (K18 HCM),712020:19a3c59e-2216-43d3-aafc-69339756e680,18/Jul/24 1:27 PM,18/Jul/24 2:06 PM,18/Jul/24 3:19 PM,18/Jul/24 1:53 PM,,0,PromotionManagement,"T.. Promotion End Date must not be in the past
Steps we’ll take…

# Click on 3 dot toggle , choose edit
# Clear End Date field 
# Enter a date “7/12/2024” in End Date field which is before current date “7/18/2024
# click on Submit button 



*Success is….*✨ 

An error toast message “Start date and End date cannot be in the past” must be shown",,Nguyen Dong Giang (K18 HCM),712020:19a3c59e-2216-43d3-aafc-69339756e680,,,,,,,,,,,,,,,,,,N3NJS1809-29,,,,,,,,,,,,,,,,,,N3NJS1809-107,18/Jul/24 1:58 PM;rk:36857ca5-8748-41ca-9be9-6234f9cee3b9;Screenshot 2024-07-18 135611.png;https://fpt-team-kweek2z8.atlassian.net/rest/api/3/attachment/content/10209,,An error toast message “Start date and End date cannot be in the past” is shown,,,,,,{},,,,,,An error toast message “Start date and End date cannot be in the past” must be shown,,,,,0|i001rb:,,,,,NJS1809 Sprint 2,,,,,,,,,,Unit,"1. Click on 3 dot toggle , choose edit
2. Clear End Date field 
3. Enter a date  “7/12/2024” in End Date field which is before current date “7/18/2024
4. click on Submit button ",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_1550394,,,Done,18/Jul/24 1:53 PM
